area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5d,s101p5e,s101p5f,s101p5g,s101p51a,s101p52a,s101p51b,s101p52b,s101p51c,s101p52c,s101p51d,s101p52d,s101p51e,s101p52e,s101p51f,s101p52f,s101p51g,s101p52g,s101p51h,s101p52h,s101p51i,s101p52i,s101p51j,s101p52j,s101p51k,s101p52k,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
rural,110950,1,2,2,2,2,2,6,4,4,4,8,4,1,1,0,1,7,7,0,4,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,4,3,4,5,5,4,3,2,2
rural,110950,1,1,1,2,2,2,6,4,4,8,8,8,1,4,0,2,0,0,0,4,8,6,8,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,3,1,1,3,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,5,3,4,4,3,3,3,4
rural,110950,1,2,2,2,2,2,6,4,4,8,8,8,1,2,0,1,3,3,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,3,3,3,3,3,3,3,1,1,2,3,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,110950,1,2,2,2,2,2,6,4,4,4,8,8,1,2,0,1,4,3,0,4,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,4,4,5,5,3,3,3,3
rural,110950,1,2,2,2,2,2,6,4,4,8,8,8,1,2,0,1,4,3,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,3,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,3,1,3,5
rural,110950,1,2,2,2,2,2,6,4,4,8,8,4,1,6,0,1,4,4,0,1,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,2,2,3,2,1,1,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,3,2,2,2,2,5,4,3,4,4,2,3,2,3
rural,110950,1,2,2,2,2,2,6,4,4,8,8,8,2,0,0,1,3,3,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,1,2,2,3,2,2,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,110950,1,2,2,2,2,2,6,4,4,8,8,8,1,4,0,1,6,6,0,4,8,6,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,5,3,5,4,5,3,3,2,4
rural,110950,1,1,1,1,1,1,6,4,4,4,4,4,2,0,0,1,5,5,0,8,4,6,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,2,2,2,1,1,3,3,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,4,4,4,3,4,3,3,3,3
rural,110950,1,2,2,2,2,2,6,4,4,8,8,8,1,4,0,1,5,5,0,8,8,6,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,2,1,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,110950,1,1,1,1,2,2,6,4,4,4,8,8,1,2,0,1,3,3,0,4,4,6,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,2,1,2,2,2,1,1,3,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,4,2,2,2
rural,110951,1,2,2,2,2,2,6,4,4,8,8,8,1,6,0,1,3,3,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,110951,1,1,1,2,2,2,6,3,3,8,8,8,2,0,0,1,3,0,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,3,2,2,2,2,2,1,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,4,5,5,5,4,1,4,3,5
rural,110951,1,1,1,1,2,2,6,3,3,3,8,8,1,2,0,1,5,4,0,3,8,3,3,3,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,2,3,2,1,1,3,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,4,2,2,2,2,5,2,5,5,5,3,3,3,3
rural,110951,1,1,2,2,2,2,6,3,3,8,8,8,2,0,0,1,5,3,2,8,8,3,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,2,2,2,2,1,1,2,3,1,2,2,1,6,1,1,1,2,2,2,2,2,2,1,2,2,2,2,4,4,4,4,4,1,2,1,1
rural,110951,1,1,1,2,2,2,6,4,4,8,8,8,1,2,0,1,4,4,0,8,8,3,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,3,5,4,4,4,1,2,1,4
rural,110951,2,2,2,2,2,2,4,4,4,4,8,8,1,8,0,1,7,7,0,4,4,4,4,4,4,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,4,4,4
rural,110951,1,1,1,2,2,2,6,4,4,8,8,8,1,2,0,1,3,3,0,4,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,3,1,1,2,2,5,3,5,5,5,2,3,2,3
rural,110951,1,1,1,1,1,1,6,1,1,1,1,1,2,0,0,1,4,4,0,8,1,6,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,3,3,3,3
rural,110951,1,1,1,2,2,2,6,4,4,8,8,8,1,6,0,1,5,2,2,8,8,4,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,6,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,1,3,4,4
rural,110951,1,1,1,1,1,1,6,4,4,4,4,4,2,0,0,1,2,2,0,8,1,6,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,3,3,3,3
rural,110951,1,2,2,2,2,2,6,4,4,8,8,8,1,2,0,1,6,6,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,110951,1,1,1,1,2,2,6,1,1,1,8,8,2,0,0,1,5,5,0,8,1,6,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,3,3,3,3
rural,110951,1,2,2,2,2,2,6,4,4,8,8,8,1,2,0,1,5,5,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,110951,1,2,2,2,2,2,6,4,4,4,8,8,2,0,0,1,4,4,0,4,4,6,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,3,1,1,1,1,2,2,2,2,2,2,5,2,2,2,2,5,5,5,4,4,4,3,3,3
rural,110951,1,1,1,2,2,2,6,4,4,8,8,8,1,2,0,1,5,5,0,4,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,3,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,4,1,1,2,2,5,5,5,5,5,4,3,3,3
rural,110951,1,1,1,1,2,2,6,3,3,3,8,8,1,3,0,1,3,3,0,3,3,3,3,3,3,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,5,5,5,5,1,1,3,1
rural,110951,1,1,1,2,2,2,6,2,2,8,8,8,1,2,0,1,5,5,0,3,8,3,3,3,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,2,4,2,2,2,2,5,4,5,5,5,3,3,3,2
rural,110951,1,2,2,2,2,2,6,4,4,4,4,4,2,0,0,1,4,4,0,4,4,6,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,2,2,2,2,1,1,3,1,1,2,2,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4,3,3,3,2
rural,110951,1,2,2,2,2,2,6,4,4,8,8,8,1,2,0,1,4,4,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,2,2,2,3,3,2,1,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,110951,1,1,1,2,2,2,6,4,4,8,8,8,1,4,0,1,5,5,0,4,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,4,5,5,5,3,3,2,4
rural,110951,1,1,1,2,2,2,6,4,4,8,8,8,1,4,0,1,4,4,0,4,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,2,2,2,2,2,1,1,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,4,5,4,5,3,3,2,3
rural,110951,1,2,2,2,2,2,6,4,4,4,4,4,2,0,0,1,5,5,0,4,4,6,4,4,4,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,2,2,2,2,1,1,3,3,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,4,5,5,4,4,3,3,3,3
rural,110951,1,2,2,2,2,2,6,4,4,8,8,8,1,4,0,1,5,5,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,2,2,2,1,2,2,4,2,2,2,2,1,1,1,1,1,5,5,5,1
rural,110951,1,2,2,2,2,2,6,4,4,8,8,8,1,2,0,1,5,5,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,2,2,2,3,2,1,1,3,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,5,5,5,1
urbana,111050,1,1,1,1,1,1,1,1,1,1,2,2,1,2,0,1,7,7,7,8,8,1,3,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,1,1,5,5
urbana,111050,2,1,1,2,1,2,3,3,3,8,3,8,1,4,0,1,10,10,10,8,8,3,3,3,8,7,0,5,2,5,10,5,10,7,0,7,0,7,0,7,0,7,0,4,2,2,6,2,1,1,1,2,2,2,2,1,1,2,1,1,2,2,3,4,2,2,2,2,2,2,2,2,2,3,2,2,2,2,5,4,4,5,5,3,3,4,3
urbana,111050,1,1,1,2,2,2,1,1,1,8,8,8,1,4,0,1,8,6,6,8,8,3,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,6,2,2,1,2,1,2,2,2,1,4,2,2,2,2,5,5,5,5,5,1,1,5,5
urbana,111050,1,1,1,1,1,2,6,1,1,1,1,8,1,4,0,1,5,3,2,1,1,1,1,1,8,1,1,7,0,7,0,7,0,7,0,7,0,7,0,7,0,5,1,7,0,7,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,1,4,5,5
urbana,111050,1,1,1,2,2,2,6,3,3,8,8,8,1,1,0,1,4,2,2,8,8,3,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,4,5,1,3,3,4
urbana,111050,1,1,1,1,1,1,1,1,1,1,1,1,1,10,0,1,12,12,0,1,1,1,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,4,4,4,4,4,4,4,4,4
urbana,111050,2,2,2,2,2,2,3,3,3,3,3,8,1,4,0,1,7,7,7,8,8,3,7,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,5,2,7,0,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,3,1,2,2,1,2,2,1,2,2,2,3,2,2,2,2,5,5,5,5,5,1,1,5,5
urbana,111050,1,1,1,2,2,2,1,1,1,8,8,8,1,2,0,1,3,3,3,8,8,8,8,8,8,7,0,7,0,5,10,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,3,1,2,2,1,2,2,2,2,2,1,4,2,2,2,2,5,5,5,5,5,1,3,1,4
urbana,111050,1,1,1,1,2,2,1,1,1,1,8,8,1,9,0,1,11,11,0,1,8,1,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2,1,4,2,2,2,2,3,3,3,3,3,3,2,2,2
urbana,111050,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,1,5,5,0,1,1,1,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,3,3
urbana,111050,2,2,2,2,2,2,4,4,4,4,4,4,1,6,0,1,10,10,0,3,3,3,3,3,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,3,1,1,1,1,2,2,2,2,2,1,3,2,2,2,2,4,4,4,4,4,4,3,4,5
urbana,111050,1,1,1,2,1,2,6,2,2,8,1,8,1,5,0,1,5,5,0,1,8,8,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,5,3,5,4,4,5,5,5,5
rural,111050,1,2,2,2,1,2,6,3,3,8,1,8,1,4,0,1,8,8,0,8,8,6,7,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,5,5,5,5,1,1,5,5
rural,111050,2,2,2,2,2,2,3,3,3,3,3,8,2,0,0,1,6,6,0,8,8,3,7,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,3,6,2,2,1,2,1,2,2,2,2,1,2,2,2,2,5,5,5,5,5,1,1,1,5
rural,111050,1,2,2,2,1,2,3,3,3,8,3,8,1,2,2,1,6,6,0,8,3,3,3,3,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,3,6,2,2,1,2,2,1,2,2,2,3,2,2,2,2,5,5,5,5,5,4,5,3,4
rural,111050,1,1,1,1,1,2,1,4,4,4,1,8,1,2,0,1,7,7,0,8,8,8,8,1,8,7,0,7,0,7,0,5,2,7,0,7,0,7,0,7,0,7,0,1,6,7,0,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,111050,1,2,1,1,1,2,6,8,1,1,1,8,1,2,0,1,3,3,0,8,8,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,3,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,1,4,5,5
rural,111050,1,2,2,2,1,2,6,4,4,8,2,8,1,10,0,1,15,15,0,3,8,6,3,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,3,6,2,2,2,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,1,1,5,5
rural,111050,1,2,1,2,1,1,3,4,4,3,3,3,1,10,10,1,10,10,10,7,3,4,3,8,8,7,0,7,0,5,20,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,3,1,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,5,5,5,5,4,4
rural,111050,1,1,1,2,2,2,6,4,4,8,8,8,2,0,0,1,4,4,0,8,8,4,4,4,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,3,2,2,3,3,2,1,3,2,1,2,2,1,6,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,3,5,4
rural,111050,1,2,2,2,2,2,6,3,3,3,3,3,1,6,0,1,7,7,0,8,8,6,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,3,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,3,5,5
rural,111050,1,1,1,2,1,2,6,4,4,8,2,8,2,0,0,1,5,5,0,8,8,6,3,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,2,3,3,1,1,1,1,1,2,2,3,6,1,1,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,99,2,99,5
rural,111050,1,2,2,1,1,2,6,4,4,1,2,8,1,2,0,1,12,11,8,8,8,6,3,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,3,7,2,2,2,2,1,2,1,2,2,4,2,2,2,2,5,5,5,5,5,1,1,99,5
rural,111050,1,1,1,1,1,2,6,4,4,7,7,8,1,4,0,1,6,6,0,8,4,6,8,4,8,7,0,7,0,5,4,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,5,2,2,2,2,5,5,5,5,5,1,3,5,5
rural,111051,1,1,1,2,1,2,6,1,1,8,2,8,2,0,0,1,6,0,0,8,3,6,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,1,1,2,3,2,1,1,3,2,1,2,2,3,6,1,1,1,2,1,1,1,1,1,3,2,2,2,2,5,5,5,5,5,1,99,99,5
rural,111051,1,1,1,2,2,2,6,2,2,8,3,8,2,0,0,1,5,3,2,8,8,6,3,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,1,1,1,1,2,1,1,1,1,2,4,2,2,2,2,4,5,5,5,5,1,1,5,5
rural,111051,1,1,1,1,1,2,6,2,2,2,2,8,1,2,0,1,5,5,0,8,8,6,3,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,3,6,2,2,1,2,1,2,2,2,1,4,2,2,2,2,5,5,5,5,5,1,1,5,5
rural,111051,1,1,1,2,1,1,6,3,3,8,3,3,1,4,0,1,6,6,0,3,3,4,3,8,8,7,0,5,4,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,7,0,2,2,1,1,2,1,1,2,2,1,2,2,1,2,2,3,1,1,2,1,2,2,1,2,2,1,3,2,2,2,2,5,5,5,5,5,3,4,4,5
rural,111051,1,1,1,2,1,1,6,3,3,8,3,3,1,4,0,1,7,7,0,3,3,4,3,3,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,4,1,2,1,2,2,2,2,2,1,4,2,2,2,2,5,5,5,5,5,5,3,5,5
rural,111051,1,1,1,1,1,1,6,3,3,3,3,3,2,0,0,1,4,4,0,8,8,4,3,3,8,7,0,7,0,2,10,2,20,7,0,7,0,2,10,7,0,7,0,5,8,7,0,2,1,1,1,1,1,2,2,2,1,2,2,1,2,2,3,6,2,2,1,2,2,2,2,2,2,4,2,2,2,2,5,5,5,5,5,5,5,5,5
rural,111051,1,1,1,1,1,1,6,3,3,3,3,3,1,2,0,1,6,6,0,3,3,4,3,3,8,7,0,7,0,5,10,7,0,7,0,7,0,7,0,7,0,7,0,5,2,7,0,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,6,1,1,1,2,2,2,2,2,2,4,2,2,2,2,4,4,4,5,4,3,5,5,5
rural,111051,1,1,1,1,1,2,6,1,1,1,1,8,2,0,0,1,3,3,0,8,1,8,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,4,2,2,1,2,2,2,2,2,1,4,2,2,2,2,5,1,1,5,5,5,5,5,5
rural,111051,1,1,1,2,1,2,6,2,2,8,1,8,1,2,0,1,6,6,0,1,1,6,1,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,1,4,2,2,1,2,1,2,2,2,2,5,2,2,2,2,3,5,5,5,5,1,4,5,3
rural,111051,1,1,1,1,1,2,6,1,1,1,1,8,1,6,2,1,6,6,0,1,1,6,1,1,8,7,0,5,7,7,0,7,0,7,0,7,0,7,0,7,0,7,0,5,4,7,0,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,3,1,2,2,2,2,1,2,2,2,1,4,2,2,2,2,1,5,5,5,5,5,1,5,5
rural,111051,1,1,1,1,1,2,6,1,1,1,1,8,1,2,0,1,6,6,0,1,8,6,8,1,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,5,10,7,0,7,0,1,1,1,1,1,2,2,2,1,1,2,2,1,3,2,3,1,1,1,1,2,2,1,2,2,1,5,2,1,2,2,5,5,5,5,5,1,4,5,5
rural,111051,1,1,1,1,1,2,6,1,1,1,2,8,1,2,0,1,6,6,3,3,8,6,3,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,3,1,1,1,1,2,2,2,2,2,1,4,2,2,2,2,5,5,5,5,5,99,1,5,5
rural,111150,1,1,1,2,2,2,6,4,4,8,8,8,1,2,0,1,2,2,0,7,3,4,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,1,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,111150,1,1,1,2,2,2,6,4,4,8,3,8,1,2,0,1,7,7,0,7,4,8,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,4,5,4,5,5,1,5,3,5
rural,111150,1,2,2,2,2,2,6,3,3,3,3,3,2,0,0,1,6,3,3,3,8,4,8,8,8,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,1,1,1,2,1,2,2,2,1,1,3,2,1,2,2,2,1,7,7,7,2,1,2,2,2,2,3,1,1,2,2,5,5,5,5,5,1,1,5,5
